version_uri	date	author	author_ar	book	title	title_ar	ed_info	id	status	tok_length	local_path	tags	tags_ar	char_length
0030CurwaIbnHizam.Diwan.JK007555-ara1	30	Curwa Ibn Hizam	عروة بن حزام	0030CurwaIbnHizam.Diwan	Diwan	ديوان عروة بن حزام		JK007555	pri	1738	data/0030CurwaIbnHizam/0030CurwaIbnHizam.Diwan/0030CurwaIbnHizam.Diwan.JK007555-ara1	_SHICR;_SHICR_UMAWI;GAL@literature-arabic;GAL@literature-national	أموي :: دواوين الشعر العربي	7305
0037IbnMuqbil.Diwan.JK007530-ara1	37	Ibn Muqbil	ابن مقبل	0037IbnMuqbil.Diwan	Diwan	ديوان ابن مقبل		JK007530	pri	12721	data/0037IbnMuqbil/0037IbnMuqbil.Diwan/0037IbnMuqbil.Diwan.JK007530-ara1	_MUKHADRAM;_SHICR;GAL@literature-arabic;GAL@literature-national	دواوين الشعر العربي :: مخضرم	54533
0040CaliIbnAbiTalib.Diwan.JK007540-ara1	40	Cali Ibn Abi Talib	علي بن أبي طالب	0040CaliIbnAbiTalib.Diwan	Diwan	ديوان علي بن أبي طالب		JK007540	pri	7921	data/0040CaliIbnAbiTalib/0040CaliIbnAbiTalib.Diwan/0040CaliIbnAbiTalib.Diwan.JK007540-ara1	_SHICR_ISLAMI;_SHICR;GAL@literature-arabic;GAL@literature-national;GAL@period-muhammad;GAL@pseudo-calid	إسلامي :: دواوين الشعر العربي	32253
0040CaliIbnAbiTalib.NahjBalagha.Shia001107Vols-ara1	40	Cali Ibn Abi Talib	خطب الإمام علي (ع)	0040CaliIbnAbiTalib.NahjBalagha	Nahj Balagha	نهج البلاغة	شرح : الشيخ محمد عبده;1412 - 1370 ش	Shia001107Vols	pri	144784	data/0040CaliIbnAbiTalib/0040CaliIbnAbiTalib.NahjBalagha/0040CaliIbnAbiTalib.NahjBalagha.Shia001107Vols-ara1	CENT0100;_HADITH;_SHICI;GAL@period-classical;GAL@literature-islamic;GAL@imamis;GAL@shia;GAL@0750-1000CE;GAL@literature-arabic;GAL@fiqh	مصادر الحديث الشيعية ـ قسم الفقه	627954
0041LabidIbnRabica.Diwan.JK007538-ara1	41	Labid Ibn Rabica	لبيد بن ربيعة العامري	0041LabidIbnRabica.Diwan	Diwan	ديوان لبيد بن ربيعة العامري		JK007538	sec	10180	data/0041LabidIbnRabica/0041LabidIbnRabica.Diwan/0041LabidIbnRabica.Diwan.JK007538-ara1	CENT0100;_ADAB;_BALAGHA;_MUKHADRAM;_SHICR;GAL@literature-arabic;GAL@literature-national	دواوين الشعر العربي :: مخضرم	43693
0041LabidIbnRabica.Diwan.Shamela0035077-ara1	41	Labid Ibn Rabica	لبيد بن ربيعة بن مالك، أبو عقيل العامري الشاعر معدود من الصحابة (المتوفى: 41هـ)	0041LabidIbnRabica.Diwan	Diwan	ديوان لبيد بن ربيعة العامري	دار المعرفة	Shamela0035077	pri	13535	data/0041LabidIbnRabica/0041LabidIbnRabica.Diwan/0041LabidIbnRabica.Diwan.Shamela0035077-ara1	CENT0100;_ADAB;_BALAGHA;_MUKHADRAM;_SHICR;GAL@literature-arabic;GAL@literature-national	الأدب والبلاغة	57913
0045JarwalIbnAwsHutaya.Diwan.JK007531-ara1	45	Jarwal Ibn Aws Hutaya	الحطيئة	0045JarwalIbnAwsHutaya.Diwan	Diwan	ديوان الحطيئة		JK007531	pri	9294	data/0045JarwalIbnAwsHutaya/0045JarwalIbnAwsHutaya.Diwan/0045JarwalIbnAwsHutaya.Diwan.JK007531-ara1	_MUKHADRAM;_SHICR;GAL@literature-arabic;GAL@literature-national	دواوين الشعر العربي :: مخضرم	37715
0050KhirniqBintBadr.Diwan.JK007506-ara1	50	Khirniq Bint Badr	الخرنق بنت بدر	0050KhirniqBintBadr.Diwan	Diwan	ديوان الخرنق بنت بدر		JK007506	pri	565	data/0050KhirniqBintBadr/0050KhirniqBintBadr.Diwan/0050KhirniqBintBadr.Diwan.JK007506-ara1	_SHICR_JAHILI;_SHICR;GAL@period-premuhammad;GAL@literature-arabic;GAL@literature-national	جاهلي :: دواوين الشعر العربي	2334
0054HassanIbnThabit.Diwan.JK007534-ara1	54	Hassan Ibn Thabit	حسان بن ثابت	0054HassanIbnThabit.Diwan	Diwan	ديوان حسان بن ثابت		JK007534	pri	19139	data/0054HassanIbnThabit/0054HassanIbnThabit.Diwan/0054HassanIbnThabit.Diwan.JK007534-ara1	_MUKHADRAM;_SHICR;GAL@literature-arabic;GAL@literature-national	دواوين الشعر العربي :: مخضرم	79354
0060MucawiyaIbnAbiSyfyan.Diwan.JK007541-ara1	60	Mucawiya Ibn Abi Syfyan	معاوية بن أبي سفيان	0060MucawiyaIbnAbiSyfyan.Diwan	Diwan	ديوان معاوية بن أبي سفيان		JK007541	pri	2350	data/0060MucawiyaIbnAbiSyfyan/0060MucawiyaIbnAbiSyfyan.Diwan/0060MucawiyaIbnAbiSyfyan.Diwan.JK007541-ara1	_SHICR_ISLAMI;_SHICR;GAL@nodata	إسلامي :: دواوين الشعر العربي	9522
