version_uri	date	author_ar	author_lat	book	title_ar	title_lat	ed_info	id	status	tok_length	local_path	tags	author_from_uri	author_lat_shuhra	author_lat_full_name	char_length
0502RaghibIsbahani.AdabIkhtilatNas.eScr20120414-ara1	502		Raghib Isbahani	0502RaghibIsbahani.AdabIkhtilatNas		Adab Ikhtilat Nas	http://www.worldcat.org/oclc/982091998	eScr20120414	pri	39116	../data/0502RaghibIsbahani/0502RaghibIsbahani.AdabIkhtilatNas/0502RaghibIsbahani.AdabIkhtilatNas.eScr20120414-ara1	:: UNCORRECTED_OCR	Raghib Isbahani			168082
0298Junayd.SirrFiAnfasSufiyya.eScr20120512-ara1	298		Junayd	0298Junayd.SirrFiAnfasSufiyya		Sirr Fi Anfas Sufiyya		eScr20120512	pri	21240	../data/0298Junayd/0298Junayd.SirrFiAnfasSufiyya/0298Junayd.SirrFiAnfasSufiyya.eScr20120512-ara1	:: UNCORRECTED_OCR	Junayd			93675
0561CabdQadirJilani.AdabSuluk.eScr20120913-ara1	561		Cabd Qadir Jilani	0561CabdQadirJilani.AdabSuluk		Adab Suluk	http://www.worldcat.org/oclc/37327867	eScr20120913	pri	26679	../data/0561CabdQadirJilani/0561CabdQadirJilani.AdabSuluk/0561CabdQadirJilani.AdabSuluk.eScr20120913-ara1	:: UNCORRECTED_OCR	Cabd Qadir Jilani			111505
0899ZarruqShihabDinFasi.UrjuzaCuyubNafs.eScr21011310-ara1	899		Zarruq Shihab Din Fasi	0899ZarruqShihabDinFasi.UrjuzaCuyubNafs		Urjuza Cuyub Nafs	¶    https://ia801609.us.archive.org/5/items/abuyaala_uyub_zaruk/uyub_zaruk.pdf	eScr21011310	pri	6060	../data/0899ZarruqShihabDinFasi/0899ZarruqShihabDinFasi.UrjuzaCuyubNafs/0899ZarruqShihabDinFasi.UrjuzaCuyubNafs.eScr21011310-ara1	:: UNCORRECTED_OCR	Zarruq Shihab Din Fasi			22272
0973IbnHajarHaythami.TathirCayba.eScr21011311-ara1	973		Ibn Hajar Haythami	0973IbnHajarHaythami.TathirCayba		Tathir Cayba	http://www.worldcat.org/oclc/4771103205	eScr21011311	pri	5061	../data/0973IbnHajarHaythami/0973IbnHajarHaythami.TathirCayba/0973IbnHajarHaythami.TathirCayba.eScr21011311-ara1	:: UNCORRECTED_OCR	Ibn Hajar Haythami			20410
0677IbnMuyassar.AkhbarMisr.EScript06092021-ara1	677		Ibn Muyassar	0677IbnMuyassar.AkhbarMisr		Akhbar Misr		EScript06092021	sec	31570	../data/0677IbnMuyassar/0677IbnMuyassar.AkhbarMisr/0677IbnMuyassar.AkhbarMisr.EScript06092021-ara1		Ibn Muyassar			136550
0339AbuNasrFarabi.AraAhlMadina.EShia0010461-ara1	339		Abu Nasr Farabi	0339AbuNasrFarabi.AraAhlMadina		Ara Ahl Madina		EShia0010461	pri	28669	../data/0339AbuNasrFarabi/0339AbuNasrFarabi.AraAhlMadina/0339AbuNasrFarabi.AraAhlMadina.EShia0010461-ara1		Abu Nasr Farabi			126064
0363QadiNucman.Idah.EShia0027411-ara1	363		Qadi Nucman	0363QadiNucman.Idah		Idah	http://www.worldcat.org/oclc/49367347	EShia0027411	pri	56266	../data/0363QadiNucman/0363QadiNucman.Idah/0363QadiNucman.Idah.EShia0027411-ara1.completed	COMPLETED ::  :: EDITORIAL_SECTIONS	Qadi Nucman			212410
0363QadiNucman.TawilDacaim.EShia0071536-ara1	363		Qadi Nucman	0363QadiNucman.TawilDacaim		Tawil Dacaim	http://www.worldcat.org/oclc/7906145	EShia0071536	pri	237105	../data/0363QadiNucman/0363QadiNucman.TawilDacaim/0363QadiNucman.TawilDacaim.EShia0071536-ara1.completed	COMPLETED ::  :: NO_MAJOR_ISSUES :: EDITORIAL_SECTIONS	Qadi Nucman			967028
0363QadiNucman.ManaqibWaMathalib.EShia0086596-ara1	363		Qadi Nucman	0363QadiNucman.ManaqibWaMathalib		Manaqib Wa Mathalib	http://www.worldcat.org/oclc/56194489	EShia0086596	pri	91954	../data/0363QadiNucman/0363QadiNucman.ManaqibWaMathalib/0363QadiNucman.ManaqibWaMathalib.EShia0086596-ara1.completed	COMPLETED ::  :: NO_MAJOR_ISSUES :: EDITORIAL_SECTIONS	Qadi Nucman			374088
0468IbnBassal.QasdWaBayan.Filaha001-ara1	468		Ibn Bassal	0468IbnBassal.QasdWaBayan	كتاب القصد والبيان	Qasd Wa Bayan	Digital transcription at¶    http://www.filaha.org/index_arabic.html	Filaha001	pri	35178	../data/0468IbnBassal/0468IbnBassal.QasdWaBayan/0468IbnBassal.QasdWaBayan.Filaha001-ara1.completed	COMPLETED ::  :: Filaha@فلاحة	Ibn Bassal			146539
0370CaribQurtubi.TartibAnwa.Filaha002-ara1	370		Carib Qurtubi	0370CaribQurtubi.TartibAnwa	كتاب في ترتيب الأنواء :: كتاب في تفصيل الأزمان ومصالح الأبدان	Kitāb fī tartīb al-Anwā' :: Kitāb fī tafṣīl al-azmān wa-maṣāliḥ al-abdān	http://www.worldcat.org/oclc/457973028	Filaha002	pri	6795	../data/0370CaribQurtubi/0370CaribQurtubi.TartibAnwa/0370CaribQurtubi.TartibAnwa.Filaha002-ara1.completed	COMPLETED ::  :: فلاحة :: أنواء :: Filaha@فلاحة :: Filaha@أنواء	Carib Qurtubi			31895
1127KhayrDinIbnIlyas.FalahFallah.Filaha003-ara1	1127	خير الدين ابن إليس :: خير الدين   بن تاج الدين إلياس	Khayr Din Ibn Ilyas :: Ḫayr al-Dīn Ibn Ilyas :: Ḫayr al-Dīn   b. Tāj al-Dīn Ilyās	1127KhayrDinIbnIlyas.FalahFallah	كتاب الفلاح الفلاح ::	Kitāb al-falāḥ al-fallāḥ ::	Digital transcription at¶    http://filaha.org/FalahAlFalahArabicTranscription.html	Filaha003	pri	37549	../data/1127KhayrDinIbnIlyas/1127KhayrDinIbnIlyas.FalahFallah/1127KhayrDinIbnIlyas.FalahFallah.Filaha003-ara1.completed	COMPLETED ::  :: فلاحة :: Filaha@فلاحة	Khayr Din Ibn Ilyas	Ḫayr al-Dīn Ibn Ilyas	Ḫayr al-Dīn   b. Tāj al-Dīn Ilyās	157609
1160YusufMahalli.Taqwim.Filaha004-ara1	1160	يوسف المحلي ::   يوسف بن يوسف المحلي، الشافعي، الأشعري، الكلارجي	Yusuf Mahalli :: Yūsuf al-Maḥallī ::   Yūsuf b. Yūsuf al-Maḥallī, al-Šāfiʿī, al-Ašʿarī, al-Kalārjī	1160YusufMahalli.Taqwim	كتاب التقويم ::	Kitāb al-Taqwīm ::		Filaha004	pri	1384	../data/1160YusufMahalli/1160YusufMahalli.Taqwim/1160YusufMahalli.Taqwim.Filaha004-ara1.completed	COMPLETED ::  :: PARTIAL_TEXT :: Filaha@أنواء :: Filaha@علم النجوم	Yusuf Mahalli	Yūsuf al-Maḥallī	Yūsuf b. Yūsuf al-Maḥallī, al-Šāfiʿī, al-Ašʿarī, al-Kalārjī	5392
0325Anonymous.MaqalatAfrudisiFiNushu.GRAR000001-ara1	325		Anonymous	0325Anonymous.MaqalatAfrudisiFiNushu	مقالة الإسكندر الأفروديسي في أن النشوء و¶    النماء في الصور لا في الهيولا ::	Maqālaŧ al-Iskandar al-Afrūdīsī fī anna al-nušūʾ wa-¶    al-namāʾ fī al-ṣūra lā fī al-hayūlā ::	https://www.graeco-arabic-studies.org/single-¶    text/text/ruland-46.html, http://www.worldcat.org/oclc/751103985	GRAR000001	pri	349	../data/0325Anonymous/0325Anonymous.MaqalatAfrudisiFiNushu/0325Anonymous.MaqalatAfrudisiFiNushu.GRAR000001-ara1		Anonymous			1494
0305AbuCuthmanDimashqi.MaqalatAfrudisiFiLawn.GRAR000002-ara1	305	أبو عثمان الدمشقي ::  أبو عثمان سعيد بن يعقوب الدمشقي	Abu Cuthman Dimashqi :: Abū ʿUṯmān al-Dimašqī ::  Abū ʿUṯmān Saʿīd b. Yaʿqūb al-Dimašqī	0305AbuCuthmanDimashqi.MaqalatAfrudisiFiLawn	مقالة الإسكندر الأفروديسي في اللون ::	Maqālaŧ al-Iskandar al-Afrūdīsī fī al-lawn ::	https://www.graeco-arabic-studies.org/single-¶    text/text/gaetje-47.html, http://www.worldcat.org/oclc/557368726	GRAR000002	pri	1032	../data/0305AbuCuthmanDimashqi/0305AbuCuthmanDimashqi.MaqalatAfrudisiFiLawn/0305AbuCuthmanDimashqi.MaqalatAfrudisiFiLawn.GRAR000002-ara1		Abu Cuthman Dimashqi	Abū ʿUṯmān al-Dimašqī	Abū ʿUṯmān Saʿīd b. Yaʿqūb al-Dimašqī	4499
0305AbuCuthmanDimashqi.MaqalatAfrudisiFiIstitaca.GRAR000003-ara1	305	أبو عثمان الدمشقي ::  أبو عثمان سعيد بن يعقوب الدمشقي	Abu Cuthman Dimashqi :: Abū ʿUṯmān al-Dimašqī ::  Abū ʿUṯmān Saʿīd b. Yaʿqūb al-Dimašqī	0305AbuCuthmanDimashqi.MaqalatAfrudisiFiIstitaca	مقالة الإسكندر الأفروديسي في الإستطاعة ::	Maqālaŧ al-Iskandar al-Afrūdīsī fī al-istiṭāʿaŧ ::	http://www.worldcat.org/oclc/923157586	GRAR000003	pri	1417	../data/0305AbuCuthmanDimashqi/0305AbuCuthmanDimashqi.MaqalatAfrudisiFiIstitaca/0305AbuCuthmanDimashqi.MaqalatAfrudisiFiIstitaca.GRAR000003-ara1		Abu Cuthman Dimashqi	Abū ʿUṯmān al-Dimašqī	Abū ʿUṯmān Saʿīd b. Yaʿqūb al-Dimašqī	5960
0328AbuBishrIbnYunus.MaqalatAfrudisiFiCinaya.GRAR000004-ara1	328	أبو بشر متى بن يونس ::  أبو بشر متى بن يونس القنائي	Abu Bishr Ibn Yunus :: Abū Bišr Mattá b. Yūnus ::  Abū Bišr Mattá b. Yūnus al-Qunnāʾī	0328AbuBishrIbnYunus.MaqalatAfrudisiFiCinaya	مقالة الإسكندر الأفروديسي في العناية ::	Maqālaŧ al-Iskandar al-Afrūdīsī fī al-ʿināyaŧ ::	http://www.worldcat.org/oclc/923157586	GRAR000004	pri	7640	../data/0328AbuBishrIbnYunus/0328AbuBishrIbnYunus.MaqalatAfrudisiFiCinaya/0328AbuBishrIbnYunus.MaqalatAfrudisiFiCinaya.GRAR000004-ara1		Abu Bishr Ibn Yunus	Abū Bišr Mattá b. Yūnus	Abū Bišr Mattá b. Yūnus al-Qunnāʾī	32022
0325Anonymous.MaqalatAfrudisiFiHiss.GRAR000005-ara1	325		Anonymous	0325Anonymous.MaqalatAfrudisiFiHiss	مقالة الإسكندر الأفروديسي في الحس ::	Maqālaŧ al-Iskandar al-Afrūdīsī fī al-ḥiss ::	https://www.graeco-arabic-studies.org/single-¶    text/text/ruland-66.html,  http://www.worldcat.org/oclc/882535225	GRAR000005	pri	1886	../data/0325Anonymous/0325Anonymous.MaqalatAfrudisiFiHiss/0325Anonymous.MaqalatAfrudisiFiHiss.GRAR000005-ara1		Anonymous			8023
0325Anonymous.MaqalatAfrudisiFiAshyaCammiyya.GRAR000006-ara1	325		Anonymous	0325Anonymous.MaqalatAfrudisiFiAshyaCammiyya	مقالة الإسكندر الأفروديسي في الأشياء ال¶    عامي الكلي ::	Maqālaŧ al-Iskandar al-Afrūdīsī fī al-ašyāʾ al-¶    ʿāmmiyya al-kulliyya ::	http://www.worldcat.org/oclc/1072143674	GRAR000006	pri	408	../data/0325Anonymous/0325Anonymous.MaqalatAfrudisiFiAshyaCammiyya/0325Anonymous.MaqalatAfrudisiFiAshyaCammiyya.GRAR000006-ara1		Anonymous			1607
